,label,text
0,0,"Thanks !! I am so ready for a good homegrown tomato . The squirrels and chipmunks have pulled almost all of ours . And ca n't wait to try your corn ! _____ From : Mills , Gail Sent : Monday , July NUM , NUM 9:46 AM To : Ellis , Regina ; Griffith , Pam ; Weed , Andrea ; Burton , Donna ; Beckett , Amanda Subject : Corn and Tomatoes for you in my office , come get what you want _____ CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT The information contained in this email is intended for the individual or entity above . This email is protected by the Electronic Communications Privacy Act , NUM U.S.C. Sections NUM and is legally protected by the attorney/client privilege and/or work product doctrine . If you are not the intended recipient , please do not read , copy , use , forward or disclose this communication to others ; also , please notify the sender by replying to this message , and then delete this message from your system . Thank you . Circular NUM Notice - Regulations adopted by the Internal Revenue Service require us to inform you that any federal tax advice contained in this communication ( including attachments ) ( I ) is not intended or written by Burr & Forman LLP to be used , and can not be used , by any taxpayer for the purpose of avoiding penalties that may be imposed on the taxpayer , and ( II ) is not written to support the promotion or marketing of any transaction ( s ) or matter ( s ) addressed in this communication ."
1,1,"Gail Livingston Mills Attorney at Law Direct : ( 205 ) 458-5300 Cell : ( 205 ) 616-9988 Main : ( 205 ) 251-3000 Fax : ( 205 ) 244-5681 420 North 20th Street , Suite 3400 Birmingham , Alabama 35203 www.burr.com < http://www.burr.com/ >"
2,0,"It would be nice , but not all mobile devices support a signature like that - I ' ve still got the original Droid - and another NUM months before the contract is up - and it wo n't do signatures . I would guess iPhones will handle signatures as well , but I 'm not sure how detailed . Probably something we should discuss at the next Tech Committee meeting - on those devices where we can require it , we probably should . I would actually like it because it is less obvious I 'm replying from my phone rather than the office . _____ From : Harlow , Tony Sent : Thursday , August NUM , NUM 12:55 PM To : Hayslip , Victor ; Vincent , India Subject : FW : New test See below for the signature I added to any email coming from my Droid . Do we need to have the same disclosure etc. . . that we have for emails coming from our outlook . With many of us communicating from our phones , should n't we require the same "" Confidential ... "" signature ? _____ CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT The information contained in this email is intended for the individual or entity above . This email is protected by the Electronic Communications Privacy Act , NUM U.S.C. Sections NUM and is legally protected by the attorney/client privilege and/or work product doctrine . If you are not the intended recipient , please do not read , copy , use , forward or disclose this communication to others ; also , please notify the sender by replying to this message , and then delete this message from your system . Thank you . Circular NUM Notice - Regulations adopted by the Internal Revenue Service require us to inform you that any federal tax advice contained in this communication ( including attachments ) ( I ) is not intended or written by Burr & Forman LLP to be used , and can not be used , by any taxpayer for the purpose of avoiding penalties that may be imposed on the taxpayer , and ( II ) is not written to support the promotion or marketing of any transaction ( s ) or matter ( s ) addressed in this communication . _____ From : Hancock , Wes Sent : Thursday , August NUM , NUM 12:29 PM To : Harlow , Tony Subject : RE : New test That is awesome . is that from your driod ? Sent from my Android phone using TouchDown ( URL ) ----- Original Message ----- From : Harlow , Tony EMAIL ] Received : Thursday , NUM Aug NUM , 11:37 am To : Harlow , Tony EMAIL ] ; Hancock , Wes EMAIL ] Subject : RE : New test I am awesome ! Why is this print so small ? Anthony ( "" Tony "" ) Harlow Attorney at Law Direct : ( NUM ) NUM Main : ( NUM ) NUM Fax : ( NUM ) NUM NUM North NUM Street Suite NUM Birmingham , Alabama NUM URL < URL > _____ CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT The information contained in this email is intended for the individual or entity above . This email is protected by the Electronic Communications Privacy Act , NUM U.S.C. Sections NUM and is legally protected by the attorney/client privilege and/or work product doctrine . If you are not the intended recipient , please do not read , copy , use , forward or disclose this communication to others ; also , please notify the sender by replying to this message , and then delete this message from your system . Thank you . Circular NUM Notice - Regulations adopted by the Internal Revenue Service require us to inform you that any federal tax advice contained in this communication ( including attachments ) ( I ) is not intended or written by Burr & Forman LLP to be used , and can not be used , by any taxpayer for the purpose of avoiding penalties that may be imposed on the taxpayer , and ( II ) is not written to support the promotion or marketing of any transaction ( s ) or matter ( s ) addressed in this communication . _____ From : Harlow , Tony Sent : Thursday , August NUM , NUM 11:37 AM To : Harlow , Tony ; Hancock , Wes Subject : New test Anthony ( "" Tony "" ) Harlow Attorney at Law Direct : ( NUM ) NUM Main : ( NUM ) NUM Fax : ( NUM ) NUM NUM North NUM Street Suite NUM Birmingham , Alabama NUM URL CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT The information contained in this email is intended for the individual or entity above . This email is protected by the Electronic Communications Privacy Act , NUM U.S.C. Sections NUM and is legally protected by the attorney/client privilege and/or work product doctrine . If you are not the intended recipient , please do not read , copy , use , forward or disclose this communication to others ; also , please notify the sender by replying to this message , and then delete this message from your system . Thank you . Circular NUM Notice - Regulations adopted by the Internal Revenue Service require us to inform you that any federal tax advice contained in this communication ( including attachments ) ( I ) is not intended or written by Burr & Forman LLP to be used , and can not be used , by any taxpayer for the purpose of avoiding penalties that may be imposed on the taxpayer , and ( II ) is not written to support the promotion or marketing of any transaction ( s ) or matter ( s ) addressed in this communication ."
3,1,"Anthony ( "" Tony "" ) Harlow Attorney at Law Direct : ( 205 ) 458-5122 Main : ( 205 ) 251-3000 Fax : ( 205 ) 278-9795 420 North 20th Street Suite 3400 Birmingham , Alabama 35203 www.burr.com < http://www.burr.com/ >"
4,0,"Iâ ?? ve attached a PDF of a working draft of the survey we received for review . ( FYI - the handwritten notes are mine â ?? not the surveyorâ ?? s. ) I hope this helps . Christi Â · CONFIDENTIALITY NOTICE : This email , including any attachments , is for the sole use of the intended recipients ( s ) and may contain confidential and privileged information . Any unauthorized review , use , disclosure , or distribution is prohibited . If you received this email and are not the intended recipient , please inform the sender by email reply and destroy all copies of the original message . Â · IRS Circular NUM Notice : Any U.S. federal tax advice contained in this communication was not intended or written to be used , and can not be used , for the purpose of ( i ) avoiding U.S. federal tax penalties or ( ii ) promoting , marketing or recommending to another party any transaction or matter addressed herein . From : Mills , Gail [ mailto:gmills@burr.com] Sent : Tuesday , July NUM , NUM 11:13 AM To : Christina Graham Cc : Griffith , Pam Subject : RE : Buffalo Rock I have not received the survey yet from Buffalo Rock , do you have an extra copy ? I will check in with them right now , I do n't know what happened to that delivery . Gail Livingston Mills Attorney at Law Direct : ( NUM ) NUM Cell : ( NUM ) NUM Main : ( NUM ) NUM Fax : ( NUM ) NUM NUM North NUM Street , Suite NUM Birmingham , Alabama NUM < URL > URL _____ CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT All previous disclaimers apply to this message as well . To see a full list of disclaimers that apply to email from URL visit : URL . _____ From : Christina Graham [ mailto:CGraham@gibbonsgraham.com] Sent : Tuesday , July NUM , NUM 8:46 AM To : Mills , Gail Cc : Ray Gibbons ; Nic Balanis Subject : Buffalo Rock Gail - Good morning . Have you had an opportunity to review title and survey ? The bank has asked that we provide them with an update . Thanks . Christi Christina A. Graham NUM Corporate Parkway Suite NUM Birmingham , Alabama NUM Direct Dial : NUM Main : NUM , ext. . NUM EMAIL Â · CONFIDENTIALITY NOTICE : This email , including any attachments , is for the sole use of the intended recipients ( s ) and may contain confidential and privileged information . Any unauthorized review , use , disclosure , or distribution is prohibited . If you received this email and are not the intended recipient , please inform the sender by email reply and destroy all copies of the original message . Â · IRS Circular NUM Notice : Any U.S. federal tax advice contained in this communication was not intended or written to be used , and can not be used , for the purpose of ( i ) avoiding U.S. federal tax penalties or ( ii ) promoting , marketing or recommending to another party any transaction or matter addressed herein ."
5,1,"Christina A. Graham 100 Corporate Parkway Suite 125 Birmingham , Alabama 35242 Direct Dial : 205.437.4180 Main : 205.437.1331 , ext. . 102 cgraham@gibbonsgraham.com"
6,0,"Alabama Court of Civil Appeals Decisions : Friday April NUM , NUM LaRose v. LaRose Court of Civil Appeals of Alabama . April NUM , NUM --- So NUM d ---- NUM WL NUM NUM On April NUM , NUM , Ann LaRose ( â € œthe paternal grandmotherâ € ? ) and Kelly Hill ( â € œthe paternal auntâ € ? ) came to Alabama to exercise visitation with Vanessa LaRose ( â € œthe childâ € ? ) pursuant to a South Carolina consent judgment awarding the paternal grandmother and Joseph P. LaRose III ( â € œthe paternal grandfatherâ € ? ) unsupervised visitation with the child every NUM weekend and for NUM nonconsecutive NUM periods each summer . Royce LaRose ( â € œthe motherâ € ? ) refused to permit the paternal grandmother and the paternal aunt to visit with the child . In fact , the following day , on April NUM , NUM , the mother filed a petition in the Cullman Circuit Court seeking a protection-from-abuse ( â € œPFAâ € ? ) order pursuant to Ala.Code NUM , Â § 30â € “ 5â € “ NUM et seq. , against both the paternal grandmother and the paternal aunt . The mother 's petition was assigned case number DRâ € “ 10â € “ NUM . The court entered NUM ex parte PFA orders ... Slaton v. State Court of Civil Appeals of Alabama . April NUM , NUM --- So NUM d ---- NUM WL NUM NUM Terry Van Slaton appeals from an order denying his amended motion to expunge his arrest record and to order the Alabama Criminal Justice Information Center ( â € œthe ACJICâ € ? ) and the National Crime Information Center ( â € œthe NCICâ € ? ) to expunge Slaton 's record . We affirm . As a result of an investigation by the Alabama Department of Human Resources , a grand jury in Jefferson County indicted Slaton on a charge of NUM sodomy in NUM . Slaton was subsequently arrested on December NUM , NUM . On March NUM , NUM , a jury found Slaton not guilty of NUM sodomy . On February NUM , NUM , Slaton moved the Jefferson Circuit Court to expunge his arrest record . On February NUM , NUM , the State objected to Slaton 's motion on the ground that Alabama law did not authorize a circuit court to expunge a criminal record . On June NUM , NUM , Slaton amended his motion to expunge his arrest record . The Jefferson Circuit Court denied Slaton 's amended motion on July NUM , NUM . On July NUM , ... A.S. v. C.M. Court of Civil Appeals of Alabama . April NUM , NUM --- So NUM d ---- NUM WL NUM NUM A.S. ( â € œthe motherâ € ? ) appeals the judgment of the Elmore Circuit Court ( â € œthe circuit courtâ € ? ) reversing the judgment of the Elmore Juvenile Court ( â € œthe juvenile courtâ € ? ) and granting C.M. ( â € œthe fatherâ € ? ) custody of the parties ' minor child ( â € œthe childâ € ? ) . We dismiss the appeal for lack of subject-matter jurisdiction . The parties became romantically involved at a young age , and , although the parties never married , the child was born to the parties on March NUM , NUM . After the child was born , the parties moved into a home together . The parties separated in March or April NUM , and the child has lived with the mother since that time . The record on appeal is scant concerning the procedural history of this case . In its final judgment , the circuit court recognized that , on November NUM , NUM , the juvenile court had ordered the father to pay child support in the amount of $ NUM to the mother ; that judgment is not in the record . On July ... B.A.N. v. G.T.B. Court of Civil Appeals of Alabama . April NUM , NUM --- So NUM d ---- NUM WL NUM NUM B.A.N. ( â € œthe motherâ € ? ) appeals from a judgment of the Coffee Juvenile Court transferring custody of T.N.B. â € œ ( the childâ € ? ) to G.T . B. ( â € œthe fatherâ € ? ) . We dismiss . On February NUM , NUM , the father filed a petition in the juvenile court requesting that he be awarded pendente lite custody of the child and that , upon a final hearing , he be awarded custody of the child . The father asserted : â € œ1 . This Honorable Court issued an Order in this matter on or about the NUM day of October NUM wherein the [ father ] was adjudicated to [ be ] the father of the [ child ] . â € œ2 . [ The father ] was granted visitation [ and was ] ordered to pay child support . â € œ3 . Since said Order there has been a material change of circumstances that warrants a change in custody . â € œ4 . The â € ¤ child has been removed from [ the mother 's custody ] by [ the Department of Human Resources ( â € ˜DHRâ € ™ ) ] due to various conditions that have put the â € ¤ child at risk . DHR ... Gunn v. KFC U.S. Properties , Inc. . Court of Civil Appeals of Alabama . April NUM , NUM --- So NUM d ---- NUM WL NUM NUM Joel Gunn ( â € œJoelâ € ? ) and his wife Donna Gunn ( â € œDonnaâ € ? ) appeal from a summary judgment entered in favor of KFC U.S. Properties , Inc . ; KFC Corporation ; Yum ! Brands , Inc. ; and Frank Schilleci , the owner of a KFC restaurant located in Montgomery ( collectively â € œKFCâ € ? ) . We affirm . Viewing the facts in the light most favorable to the Gunns , the nonmovants , as we are required to do on an appeal from a summary judgment , Hanners v. Balfour Guthrie , Inc. , NUM So NUM d NUM , NUM ( Ala. NUM ) , we note the following facts . On May NUM , NUM , Donna purchased some chicken at a KFC restaurant located in Montgomery , and she took the chicken home . Donna and Joel ate some of the chicken that night . Afterwards , Donna placed the remainder of the chicken in a plastic bag and placed it in a refrigerator . The next day , Joel took the chicken to work with him to eat as a snack . While at work , Joel removed a piece of chicken from the bag and discovered what he described as a human ... Arvin North American Automotive , Inc. . v. Rodgers Court of Civil Appeals of Alabama . April NUM , NUM --- So NUM d ---- NUM WL NUM NUM Arvin North American Automotive , Inc. . ( â € œthe employerâ € ? ) , appeals from a judgment of the Fayette Circuit Court ( â € œthe trial courtâ € ? ) finding the employer in contempt for violating a judgment in which the employer was ordered to pay , among other things , medical benefits pursuant to the Alabama Workers ' Compensation Act , Ala.Code NUM , Â § 25â € “ 5â € “ NUM et seq. . We dismiss . In August NUM , the trial court entered a judgment ( â € œthe NUM judgmentâ € ? ) finding , among other things , that Nadine Rodgers ( â € œthe employeeâ € ? ) had sustained injuries within the line and scope of her employment with the employer , that the employee had been diagnosed with severe depression and anxiety , and that the work-related injuries were a contributing cause of the employee 's mental disorders . The trial court also ordered the employer to pay , among other things , â € œthe cost of reasonable and necessary medical care for the injuries sustained by the [ employee ] in ... Alabama Dept. . of Environmental Management v. Friends of Hurricane Creek Court of Civil Appeals of Alabama . April NUM , NUM --- So NUM d ---- NUM WL NUM NUM , NUM These NUM appeals have been taken from a summary judgment entered by the Montgomery Circuit Court in judicial-review proceedings challenging the correctness of a decision of the Alabama Environmental Management Commission ( â € œthe Commissionâ € ? ) declining to review an order rendered by the Alabama Department of Environmental Management ( â € œthe Departmentâ € ? ) assessing monetary sanctions against SDW , Inc. . ( â € œthe developerâ € ? ) , a residential developer that purportedly discharged certain materials into an unnamed tributary ( â € œthe tributaryâ € ? ) of Cottondale Creek , a body of water that flows into Hurricane Creek . Because we conclude that the circuit court erred , as to the appeal taken by the Department and the Commission in case no . NUM and the appeal taken by the developer in case no . NUM , we vacate the circuit court 's judgment and remand the cause for further proceedings ; we dismiss as moot the cross-appeal taken by the Friends of Hurricane ... McMichael v. McMichael Court of Civil Appeals of Alabama . April NUM , NUM --- So NUM d ---- NUM WL NUM NUM Forney L. McMichael appeals from an order of the Talladega Circuit Court finding him in contempt . We affirm . In Ex parte McMichael , [ Ms. NUM , Sept. . NUM , NUM ] _ So NUM d _ , _ ( Ala. NUM ) , the supreme court recited the factual and procedural background of this appeal : â € œOn August NUM , NUM , Forney McMichael filed in the Calhoun Circuit Court a complaint for a divorce , seeking to terminate his marriage to Ronda McMichael . In the divorce complaint , Forney sought , among other things , a judgment awarding him â € ˜all right , title and interestâ € ™ in â € ˜MACS VACS LLCâ € ™ ( â € ˜the LLCâ € ™ ) , a business located in Calhoun County . The parties own the LLC jointly with right of survivorship . â € œThe Calhoun Circuit Court entered an ex parte temporary restraining order ( â € ˜the Calhoun TROâ € ™ ) . In the Calhoun TRO , the court found that â € ˜ [ Forney ] , and the assets subject to the jurisdiction of the Court , particularly [ the ] LLC , and the parties ' real property ... _____ CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT The information contained in this email is intended for the individual or entity above . This email is protected by the Electronic Communications Privacy Act , NUM U.S.C. Sections NUM and is legally protected by the attorney/client privilege and/or work product doctrine . If you are not the intended recipient , please do not read , copy , use , forward or disclose this communication to others ; also , please notify the sender by replying to this message , and then delete this message from your system . Thank you . Circular NUM Notice - Regulations adopted by the Internal Revenue Service require us to inform you that any federal tax advice contained in this communication ( including attachments ) ( I ) is not intended or written by Burr & Forman LLP to be used , and can not be used , by any taxpayer for the purpose of avoiding penalties that may be imposed on the taxpayer , and ( II ) is not written to support the promotion or marketing of any transaction ( s ) or matter ( s ) addressed in this communication ."
7,1,"Helen M. Walker Manager Library & Knowledge Services Direct : ( 205 ) 458-5217 Main : ( 205 ) 251-3000 Fax : ( 205 ) 244-5785 420 North 20th Street Suite 3400 Birmingham , Alabama 35203 www.burr.com < http://www.burr.com/ >"
8,0,"These are the invoice I do have . The other amounts of debt repayment I took from what he was paid . This Email message is for the addressed person only . Introduction of a Candidate via Email or Fax is considered Representation by Westminster Consulting . Our fee is Due & Payable when a Candidate is hired by Your Firm , a Subsidiary or Division or any Other Firm you May refer our Candidate to within a NUM Month period ."
9,1,"Angela King Recruitment Consultant Westminster Consulting Ltd. . 915-13 Street S.E. Calgary , Alberta T2G 3J3 Office : 403 685 0677 extension 250 Direct : 403 444 4130 email : angela.king@westminsterconsulting.ca < mailto:angela.king@westminsterconsulting.ca >"
